timestamp,user_id,object,record_id,field,old_value,new_value,action
2024-04-02 17:42,ACCT-2,VendorMaster,V-002,email,old-value,new-value,Modify
2024-04-03 17:08,ACCT-3,VendorMaster,V-020,email,old-value,new-value,Modify
2024-04-11 10:53,ACCT-3,VendorMaster,V-034,phone,old-value,new-value,Modify
2024-04-27 15:29,ACCT-2,VendorMaster,V-013,address,old-value,new-value,Modify
2024-05-01 17:31,ACCT-1,VendorMaster,V-005,email,old-value,new-value,Modify
2024-05-19 13:35,ACCT-1,VendorMaster,V-010,phone,old-value,new-value,Modify
2024-06-27 15:14,ACCT-2,VendorMaster,V-028,email,old-value,new-value,Modify
2024-06-29 14:45,ACCT-1,VendorMaster,V-034,phone,old-value,new-value,Modify
2024-06-29 16:30,ACCT-1,VendorMaster,V-014,email,old-value,new-value,Modify
2024-08-15 16:41,ACCT-3,VendorMaster,V-020,email,old-value,new-value,Modify
2024-08-16 13:33,ACCT-1,VendorMaster,V-003,email,old-value,new-value,Modify
2024-09-01 16:02,ACCT-3,VendorMaster,V-041,address,old-value,new-value,Modify
2024-09-16 13:00,ACCT-2,VendorMaster,V-007,email,old-value,new-value,Modify
2024-10-27 13:31,ACCT-2,VendorMaster,V-043,email,old-value,new-value,Modify
2024-10-28 17:51,ACCT-3,VendorMaster,V-014,address,old-value,new-value,Modify
2024-11-14 16:29,ACCT-2,VendorMaster,V-039,email,old-value,new-value,Modify
2024-11-22 10:32,ACCT-2,VendorMaster,V-013,address,old-value,new-value,Modify
2024-11-23 12:28,ACCT-2,VendorMaster,V-004,phone,old-value,new-value,Modify
2024-12-21 10:58,ACCT-3,VendorMaster,V-009,address,old-value,new-value,Modify
2024-12-25 12:08,ACCT-3,VendorMaster,V-010,email,old-value,new-value,Modify
2025-01-01 11:06,ACCT-3,VendorMaster,V-036,address,old-value,new-value,Modify
2025-01-08 22:42,ADMIN-1,VendorMaster,V-006,bank_account,XXXXXX400822,XXXXXX771204,Modify
2025-01-12 23:05,ADMIN-1,VendorMaster,V-006,bank_account,XXXXXX771204,XXXXXX400822,Modify
2025-02-07 16:15,ACCT-1,VendorMaster,V-011,email,old-value,new-value,Modify
2025-02-23 14:09,ACCT-1,VendorMaster,V-009,email,old-value,new-value,Modify
2025-03-09 10:03,ACCT-2,VendorMaster,V-001,phone,old-value,new-value,Modify
2025-03-25 14:43,ACCT-2,VendorMaster,V-036,email,old-value,new-value,Modify
